listing_id,host_id,neighbourhood,borough,property_type,room_type,checkin_date,checkout_date,nights_stayed,price_per_night,total_revenue,occupancy_rate,review_score,number_of_reviews,amenities,is_weekend_booking
L0001,Host_018,Astoria,Queens,Entire home/apt,Entire home,2023-02-22,2023-03-05,11,245.0,2695.0,0.84,4.3,152,"WiFi, Pool, Gym, Kitchen, Washer, Elevator",No
L0002,Host_045,Flushing,Queens,Private room,Private room,2023-10-29,2023-11-03,5,93.44,467.2,0.87,3.5,41,"Washer, TV, Kitchen, Elevator, Air conditioning, WiFi",Yes
L0003,Host_055,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-01-23,2023-02-04,12,296.0,3552.0,0.69,3.7,97,"Pool, TV, Elevator",No
L0004,Host_024,Jamaica,Queens,Private room,Private room,2023-12-05,2023-12-09,4,53.0,212.0,0.85,5.0,60,"Elevator, TV, Heating",No
L0005,Host_023,Long Island City,Queens,Entire home/apt,Entire home,2023-12-16,2023-12-27,11,290.56,3196.16,0.49,4.5,137,"Air conditioning, Gym, Heating, Pool",Yes
L0006,Host_021,Jamaica,Queens,Entire home/apt,Entire home,2023-01-17,2023-01-30,13,148.0,1924.0,0.61,3.9,55,"Washer, Heating, Pool, Gym, Elevator, TV, WiFi",No
L0007,Host_036,Park Slope,Brooklyn,Entire home/apt,Entire home,2023-10-26,2023-11-02,7,254.0,1778.0,0.64,5.0,36,"Gym, Kitchen, Elevator, WiFi, Washer, Pool, Air conditioning",No
L0008,Host_025,Upper East Side,Manhattan,Private room,Private room,2023-05-09,2023-05-18,9,104.0,936.0,0.9,3.5,30,"TV, Washer, WiFi, Air conditioning, Heating, Kitchen, Pool",No
L0009,Host_049,Chelsea,Manhattan,Shared room,Shared room,2023-02-24,2023-03-10,14,69.12,967.68,0.78,4.8,130,"Heating, Air conditioning, Gym, Kitchen, TV, WiFi, Elevator",Yes
L0010,Host_060,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-01-30,2023-02-03,4,305.0,1220.0,0.91,4.9,22,"Kitchen, Air conditioning, Pool, Washer, Heating, Elevator",No
L0011,Host_028,Flatbush,Brooklyn,Private room,Private room,2023-12-20,2023-12-24,4,114.0,456.0,0.82,4.1,172,"Gym, Pool, WiFi, Kitchen, Washer",No
L0012,Host_036,Chelsea,Manhattan,Entire home/apt,Entire home,2023-01-04,2023-01-06,2,237.0,474.0,0.82,3.6,18,"Washer, Kitchen, TV",No
L0013,Host_014,Chelsea,Manhattan,Private room,Private room,2023-08-31,2023-09-04,4,118.0,472.0,0.86,4.7,49,"Kitchen, Elevator, Air conditioning",No
L0014,Host_047,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-07-26,2023-08-07,12,147.0,1764.0,0.63,4.8,64,"Heating, Gym, Kitchen, Pool",No
L0015,Host_056,Chelsea,Manhattan,Entire home/apt,Entire home,2023-10-09,2023-10-11,2,158.0,316.0,0.48,5.0,4,"Heating, Air conditioning, Pool",No
L0016,Host_026,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-01-02,2023-01-09,7,150.0,1050.0,0.59,4.7,117,"Elevator, Gym, Kitchen, Pool, Air conditioning",No
L0017,Host_035,Midtown,Manhattan,Private room,Private room,2023-01-26,2023-02-05,10,85.0,850.0,0.7,4.9,136,"WiFi, Kitchen, Elevator, Gym",No
L0018,Host_056,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-10-19,2023-10-23,4,240.0,960.0,0.75,3.6,21,"Pool, Washer, Air conditioning, Kitchen, Elevator, Gym",No
L0019,Host_042,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-02-07,2023-02-08,1,273.0,273.0,0.69,5.0,26,"Pool, Heating, TV",No
L0020,Host_057,Park Slope,Brooklyn,Shared room,Shared room,2023-05-26,2023-05-29,3,46.08,138.24,0.68,4.3,78,"Pool, WiFi, Washer, TV, Air conditioning, Gym, Heating",Yes
L0021,Host_048,Williamsburg,Brooklyn,Private room,Private room,2023-11-06,2023-11-10,4,79.0,316.0,0.82,3.8,163,"Pool, Gym, Air conditioning, WiFi, Washer",No
L0022,Host_003,Jackson Heights,Queens,Private room,Private room,2023-03-08,2023-03-19,11,87.0,957.0,0.96,3.7,114,"Elevator, WiFi, Gym, Pool, Kitchen, Washer, TV",No
L0023,Host_009,Jamaica,Queens,Entire home/apt,Entire home,2023-01-21,2023-01-27,6,180.48,1082.88,0.56,3.9,27,"Pool, Elevator, TV, Washer, Kitchen",Yes
L0024,Host_052,Harlem,Manhattan,Shared room,Shared room,2023-04-02,2023-04-14,12,32.0,384.0,0.93,4.7,106,"TV, Air conditioning, Elevator, Washer",Yes
L0025,Host_055,Upper East Side,Manhattan,Private room,Private room,2023-08-24,2023-08-30,6,73.0,438.0,0.61,4.7,59,"WiFi, Heating, Gym, Air conditioning",No
L0026,Host_018,Williamsburg,Brooklyn,Shared room,Shared room,2023-12-14,2023-12-28,14,37.0,518.0,0.73,4.9,30,"Air conditioning, TV, WiFi, Elevator, Gym",No
L0027,Host_021,Bushwick,Brooklyn,Private room,Private room,2023-07-17,2023-07-27,10,110.0,1100.0,0.55,3.6,112,"Pool, Heating, Air conditioning",No
L0028,Host_059,Williamsburg,Brooklyn,Shared room,Shared room,2023-03-05,2023-03-17,12,58.88,706.56,0.92,4.3,171,"Washer, Elevator, Pool, Air conditioning, TV, Kitchen",Yes
L0029,Host_025,Upper East Side,Manhattan,Private room,Private room,2023-07-27,2023-08-05,9,117.0,1053.0,0.88,4.0,54,"Washer, Gym, Heating, Elevator, Kitchen, Pool",No
L0030,Host_019,Flushing,Queens,Private room,Private room,2023-05-01,2023-05-12,11,56.0,616.0,0.61,4.7,38,"WiFi, Heating, Gym",No
L0031,Host_057,Astoria,Queens,Entire home/apt,Entire home,2023-07-24,2023-07-28,4,219.0,876.0,0.53,4.5,28,"Heating, Air conditioning, Elevator, Washer, TV, Pool",No
L0032,Host_055,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-08-26,2023-09-06,11,232.96,2562.56,0.73,4.3,82,"Pool, Elevator, Gym, TV, Heating, Kitchen",Yes
L0033,Host_049,Jackson Heights,Queens,Entire home/apt,Entire home,2023-09-24,2023-10-02,8,314.88,2519.04,0.78,3.9,20,"Heating, TV, Air conditioning, Elevator, Gym",Yes
L0034,Host_025,Harlem,Manhattan,Entire home/apt,Entire home,2023-08-01,2023-08-08,7,198.0,1386.0,0.62,4.2,16,"Elevator, Pool, Gym, TV",No
L0035,Host_049,Astoria,Queens,Private room,Private room,2023-06-30,2023-07-05,5,135.68,678.4,0.84,4.8,108,"Pool, Heating, Gym, Kitchen, Air conditioning, Elevator, Washer",Yes
L0036,Host_044,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-08-28,2023-08-31,3,327.0,981.0,0.96,4.3,101,"WiFi, Kitchen, Washer, Heating, Gym, Elevator, Pool",No
L0037,Host_014,Chelsea,Manhattan,Entire home/apt,Entire home,2023-07-14,2023-07-19,5,450.56,2252.8,0.84,4.7,65,"Gym, WiFi, Washer",Yes
L0038,Host_023,Astoria,Queens,Shared room,Shared room,2023-11-30,2023-12-01,1,49.0,49.0,0.84,4.9,52,"Air conditioning, Heating, Kitchen",No
L0039,Host_014,Williamsburg,Brooklyn,Private room,Private room,2023-07-08,2023-07-11,3,98.56,295.68,0.77,4.9,30,"TV, Kitchen, Pool, WiFi",Yes
L0040,Host_025,Flatbush,Brooklyn,Private room,Private room,2023-10-31,2023-11-12,12,70.0,840.0,0.88,3.9,179,"Kitchen, WiFi, Air conditioning, TV, Heating",No
L0041,Host_042,Long Island City,Queens,Entire home/apt,Entire home,2023-08-04,2023-08-18,14,376.32,5268.48,0.7,4.2,93,"Air conditioning, Elevator, Kitchen, Washer, TV, Pool",Yes
L0042,Host_030,Jamaica,Queens,Private room,Private room,2023-06-15,2023-06-29,14,120.0,1680.0,0.58,4.9,72,"Heating, Gym, TV, Elevator, Pool, Air conditioning",No
L0043,Host_012,Upper East Side,Manhattan,Private room,Private room,2023-05-13,2023-05-19,6,92.16,552.96,0.6,4.4,71,"WiFi, Heating, Pool, Kitchen, Gym, TV, Air conditioning",Yes
L0044,Host_032,Upper East Side,Manhattan,Private room,Private room,2023-05-31,2023-06-04,4,47.0,188.0,0.66,3.9,170,"Washer, Gym, TV, Elevator, Air conditioning, Heating, Pool",No
L0045,Host_030,Long Island City,Queens,Entire home/apt,Entire home,2023-04-29,2023-05-01,2,330.24,660.48,0.83,4.0,138,"Heating, Pool, Washer, Gym",Yes
L0046,Host_034,Flatbush,Brooklyn,Shared room,Shared room,2023-04-10,2023-04-15,5,51.0,255.0,0.57,3.8,4,"Air conditioning, TV, WiFi, Elevator, Gym, Pool, Heating",No
L0047,Host_001,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-08-14,2023-08-20,6,265.0,1590.0,0.55,3.6,123,"Kitchen, Elevator, Heating",No
L0048,Host_004,Lower East Side,Manhattan,Private room,Private room,2023-10-16,2023-10-21,5,64.0,320.0,0.49,3.9,143,"Heating, Elevator, Pool, Gym, Air conditioning, Washer",No
L0049,Host_040,Flatbush,Brooklyn,Private room,Private room,2023-04-19,2023-04-24,5,71.0,355.0,0.79,3.7,45,"Kitchen, Air conditioning, WiFi, Heating, Washer, TV, Pool",No
L0050,Host_019,Harlem,Manhattan,Entire home/apt,Entire home,2023-04-30,2023-05-05,5,450.56,2252.8,0.86,4.4,170,"Elevator, Kitchen, TV, Gym",Yes
L0051,Host_053,Flushing,Queens,Private room,Private room,2023-03-26,2023-04-08,13,69.12,898.56,0.61,4.6,146,"Gym, Kitchen, Heating, Washer, Air conditioning",Yes
L0052,Host_033,Jackson Heights,Queens,Shared room,Shared room,2023-11-03,2023-11-04,1,34.56,34.56,0.91,4.6,155,"WiFi, Kitchen, Gym, Washer, TV",Yes
L0053,Host_044,Astoria,Queens,Shared room,Shared room,2023-03-31,2023-04-08,8,33.28,266.24,0.72,4.2,72,"Elevator, Gym, WiFi, Heating",Yes
L0054,Host_043,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-07-30,2023-08-11,12,221.44,2657.28,0.71,4.5,103,"WiFi, Gym, Pool, Air conditioning, Washer, TV, Elevator",Yes
L0055,Host_001,Flatbush,Brooklyn,Private room,Private room,2023-04-07,2023-04-16,9,124.16,1117.44,0.64,4.6,161,"WiFi, Heating, Air conditioning, TV, Kitchen, Elevator",Yes
L0056,Host_041,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-10-10,2023-10-11,1,242.0,242.0,0.74,3.6,30,"Kitchen, Air conditioning, Heating, Washer, Gym, TV",No
L0057,Host_016,Brooklyn Heights,Brooklyn,Shared room,Shared room,2023-07-16,2023-07-20,4,37.12,148.48,0.93,4.3,35,"TV, Elevator, Air conditioning",Yes
L0058,Host_019,Long Island City,Queens,Private room,Private room,2023-12-04,2023-12-12,8,120.0,960.0,0.9,4.2,124,"Washer, Elevator, Heating, Air conditioning, Kitchen",No
L0059,Host_015,Flushing,Queens,Private room,Private room,2023-08-31,2023-09-12,12,50.0,600.0,0.92,4.1,170,"Gym, WiFi, Kitchen, TV",No
L0060,Host_056,Long Island City,Queens,Private room,Private room,2023-08-22,2023-08-23,1,57.0,57.0,0.83,4.1,168,"Kitchen, Gym, Elevator, Air conditioning",No
L0061,Host_042,Flatbush,Brooklyn,Private room,Private room,2023-12-12,2023-12-26,14,87.0,1218.0,0.73,4.9,161,"Pool, WiFi, TV, Gym, Kitchen, Air conditioning",No
L0062,Host_007,Midtown,Manhattan,Entire home/apt,Entire home,2023-12-22,2023-12-27,5,218.88,1094.4,0.92,3.6,15,"Washer, Pool, Heating, Kitchen, Gym",Yes
L0063,Host_051,Jackson Heights,Queens,Private room,Private room,2023-02-10,2023-02-20,10,84.48,844.8,0.9,4.4,62,"Air conditioning, Heating, Gym, Washer, Pool, Elevator",Yes
L0064,Host_030,Williamsburg,Brooklyn,Private room,Private room,2023-02-07,2023-02-15,8,114.0,912.0,0.94,5.0,77,"TV, Gym, Elevator, Air conditioning, Kitchen, Heating",No
L0065,Host_037,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-12-25,2023-12-30,5,303.0,1515.0,0.46,4.7,102,"WiFi, Pool, TV, Washer, Heating",No
L0066,Host_023,Park Slope,Brooklyn,Private room,Private room,2023-05-09,2023-05-20,11,69.0,759.0,0.84,4.7,175,"Kitchen, WiFi, Air conditioning, Heating",No
L0067,Host_009,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-08-01,2023-08-04,3,166.0,498.0,0.55,4.7,94,"Pool, TV, Elevator, Kitchen, Air conditioning, Heating, Washer",No
L0068,Host_030,Long Island City,Queens,Private room,Private room,2023-04-26,2023-05-10,14,63.0,882.0,0.8,4.5,102,"Washer, Kitchen, Elevator, Heating, WiFi, Air conditioning, Pool",No
L0069,Host_048,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-11-23,2023-11-29,6,254.0,1524.0,0.51,3.9,7,"Pool, Washer, TV, Kitchen, WiFi, Heating, Air conditioning",No
L0070,Host_003,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-03-01,2023-03-03,2,139.0,278.0,0.57,4.3,100,"Washer, Elevator, TV, Pool, Kitchen, Heating",No
L0071,Host_040,Astoria,Queens,Private room,Private room,2023-12-20,2023-12-26,6,80.0,480.0,0.56,4.2,61,"Kitchen, Washer, TV, Gym, Air conditioning",No
L0072,Host_008,Upper East Side,Manhattan,Entire home/apt,Entire home,2023-04-19,2023-04-30,11,352.0,3872.0,0.78,5.0,13,"Heating, Air conditioning, Elevator, TV, Kitchen",No
L0073,Host_014,Lower East Side,Manhattan,Entire home/apt,Entire home,2023-03-17,2023-03-30,13,305.92,3976.96,0.92,3.5,38,"Pool, TV, Elevator, Kitchen",Yes
L0074,Host_023,Midtown,Manhattan,Entire home/apt,Entire home,2023-01-09,2023-01-12,3,241.0,723.0,0.59,3.7,108,"Kitchen, Pool, Heating, Elevator, Air conditioning, WiFi, Gym",No
L0075,Host_003,Flushing,Queens,Shared room,Shared room,2023-01-16,2023-01-17,1,45.0,45.0,0.97,4.8,110,"Gym, Pool, WiFi",No
L0076,Host_005,Chelsea,Manhattan,Private room,Private room,2023-11-21,2023-12-01,10,80.0,800.0,0.74,4.0,153,"TV, Gym, Pool, Elevator, Heating, WiFi, Air conditioning",No
L0077,Host_014,Lower East Side,Manhattan,Private room,Private room,2023-04-27,2023-05-04,7,102.0,714.0,0.63,4.2,107,"Washer, Elevator, Air conditioning",No
L0078,Host_010,Long Island City,Queens,Entire home/apt,Entire home,2023-02-13,2023-02-15,2,362.0,724.0,0.67,4.6,96,"Pool, WiFi, TV, Elevator",No
L0079,Host_027,Long Island City,Queens,Private room,Private room,2023-01-27,2023-02-01,5,126.72,633.6,0.76,4.0,148,"Heating, Air conditioning, Washer, Pool, Kitchen, WiFi, TV",Yes
L0080,Host_018,Long Island City,Queens,Entire home/apt,Entire home,2023-10-15,2023-10-28,13,300.8,3910.4,0.88,4.4,165,"WiFi, TV, Pool, Kitchen, Air conditioning, Gym, Washer",Yes
L0081,Host_010,Williamsburg,Brooklyn,Entire home/apt,Entire home,2023-11-21,2023-11-22,1,325.0,325.0,0.5,4.3,97,"Gym, Washer, Kitchen, Air conditioning, Pool, TV",No
L0082,Host_004,Jamaica,Queens,Entire home/apt,Entire home,2023-11-13,2023-11-14,1,199.0,199.0,0.8,3.9,170,"Gym, Pool, Heating, Air conditioning, Kitchen, WiFi",No
L0083,Host_044,Brooklyn Heights,Brooklyn,Entire home/apt,Entire home,2023-06-07,2023-06-08,1,369.0,369.0,0.56,5.0,15,"Heating, TV, Kitchen",No
L0084,Host_008,Chelsea,Manhattan,Entire home/apt,Entire home,2023-08-09,2023-08-12,3,123.0,369.0,0.52,4.3,59,"Pool, Washer, WiFi, Heating, Elevator, Gym, TV",No
L0085,Host_037,Williamsburg,Brooklyn,Private room,Private room,2023-12-30,2024-01-10,11,151.04,1661.44,0.67,3.7,6,"Air conditioning, Gym, Elevator, Washer, Pool",Yes
L0086,Host_016,Upper East Side,Manhattan,Private room,Private room,2023-09-26,2023-09-28,2,120.0,240.0,0.66,4.0,87,"Washer, Air conditioning, WiFi, TV",No
L0087,Host_013,Astoria,Queens,Entire home/apt,Entire home,2023-11-27,2023-12-11,14,298.0,4172.0,0.53,3.7,66,"Air conditioning, Pool, Elevator, Washer",No
L0088,Host_041,Harlem,Manhattan,Shared room,Shared room,2023-10-16,2023-10-29,13,49.0,637.0,0.75,4.5,145,"Washer, Pool, Kitchen, Heating, WiFi, Gym, Elevator",No
L0089,Host_038,Long Island City,Queens,Private room,Private room,2023-02-07,2023-02-12,5,90.0,450.0,0.69,3.6,95,"Kitchen, Pool, TV, Elevator, Washer",No
L0090,Host_051,Brooklyn Heights,Brooklyn,Private room,Private room,2023-10-20,2023-10-31,11,130.56,1436.16,0.55,4.4,129,"WiFi, Gym, Pool, Air conditioning",Yes
L0091,Host_012,Astoria,Queens,Entire home/apt,Entire home,2023-08-13,2023-08-21,8,179.2,1433.6,0.72,4.4,94,"TV, Elevator, Heating, Air conditioning, Pool",Yes
L0092,Host_007,Chelsea,Manhattan,Entire home/apt,Entire home,2023-12-03,2023-12-13,10,405.76,4057.6,0.9,4.0,150,"Washer, TV, Pool, Elevator",Yes
L0093,Host_046,Jackson Heights,Queens,Entire home/apt,Entire home,2023-07-12,2023-07-23,11,163.0,1793.0,0.86,4.7,172,"Kitchen, Elevator, TV, Air conditioning, WiFi, Washer, Pool",No
